ID|LABEL|CITY|COUNTRY|POSTALCODE_PLUS4|STATE_ABBR|STREET_ADDRESS
PL_0|provider_location|Walkerville|USA|63373-8527|CT|1236 Schmidt Forks Suite 953
PL_1|provider_location|Lake Dustin|USA|00550-2718|MS|9451 Davis Fall Suite 531
PL_2|provider_location|Howardville|USA|43523-0652|CT|66318 Megan Row Suite 326
PL_3|provider_location|Brandonstad|USA|68721-8080|ND|8171 Gary Square
PL_4|provider_location|Oliverton|USA|04767-0832|NJ|6510 Scott Cliff
PL_5|provider_location|Jasonfort|USA|29338-1872|ME|625 Tonya Vista Apt. 891
PL_6|provider_location|Olsonburgh|USA|76782-1597|TN|98761 Gary Forest Suite 112
PL_7|provider_location|Morganview|USA|94276-0354|HI|91292 Tracy Fort
PL_8|provider_location|West Ryanmouth|USA|58346-4611|RI|7787 Mueller Trace
PL_9|provider_location|Thorntonbury|USA|06330-4863|VT|07658 Jennifer Streets
PL_10|provider_location|Teresamouth|USA|95057-6095|OK|8856 Martinez Crescent
PL_11|provider_location|Port Rebeccaberg|USA|72575-9910|CT|2673 James Dam
PL_12|provider_location|Lopeztown|USA|99458-4112|MA|8226 Charles Lake
PL_13|provider_location|New Anthony|USA|00703-2375|AL|98250 Hicks Highway Apt. 095
PL_14|provider_location|Wendyborough|USA|68697-6056|CA|76195 Sylvia Turnpike
PL_15|provider_location|West Roseland|USA|24382-7417|NE|7067 Brown Spring
PL_16|provider_location|Christophertown|USA|70481-6215|AZ|90121 Porter Stravenue
PL_17|provider_location|East Shellyshire|USA|45877-7432|AZ|05805 Karen Mall
PL_18|provider_location|Smithburgh|USA|70060-7077|UT|5753 Reyes Terrace
PL_19|provider_location|Phillipsburgh|USA|05316-7757|RI|95272 Perez Lake Suite 306
PL_20|provider_location|East Chad|USA|17033-7529|LA|6671 Irwin Ways
PL_21|provider_location|Pattersonview|USA|85430-0880|AL|234 Terry Springs
PL_22|provider_location|Port Luis|USA|67342-7761|DE|29314 Baker River
PL_23|provider_location|Lake Teresa|USA|72588-1251|CT|0231 Lopez Vista Suite 210
PL_24|provider_location|Lake Danielle|USA|48185-1638|NY|9671 Nancy Cove Apt. 382
PL_25|provider_location|East Stevenberg|USA|59688-6193|NM|862 Debbie Pines
PL_26|provider_location|North Melissabury|USA|79771-2315|CA|3017 Brandon Groves
PL_27|provider_location|Charleschester|USA|91958-9164|WY|20437 Stacy Ferry
PL_28|provider_location|South Michelle|USA|74749-2263|VA|183 Hill Road
PL_29|provider_location|East Danielleshire|USA|80256-7501|SD|62075 Klein Branch
PL_30|provider_location|Boyerberg|USA|45301-1710|IL|52389 Russell Radial Suite 509
PL_31|provider_location|Madelineland|USA|88593-4052|UT|785 James Orchard Apt. 602
PL_32|provider_location|South Kevinmouth|USA|51800-3298|WA|20680 Richard Land
PL_33|provider_location|Martinberg|USA|23364-6677|WV|78175 Megan Alley Apt. 447
PL_34|provider_location|Jefferymouth|USA|88479-4203|ME|262 Harrington Divide Suite 655
PL_35|provider_location|Port Tracy|USA|70587-8509|OH|6349 Hess Ports Apt. 851
PL_36|provider_location|East Caroltown|USA|21931-9867|SD|0347 Padilla Ports
PL_37|provider_location|West Andrewtown|USA|62949-0152|TN|2569 Howard Port
PL_38|provider_location|Woodsshire|USA|97046-0795|NJ|680 Laura Plaza
PL_39|provider_location|Lake Phillip|USA|88725-8672|SD|645 Denise Rapid Suite 658
PL_40|provider_location|North Samuel|USA|21261-0058|NY|739 Morales Common Apt. 280
PL_41|provider_location|East Crystaltown|USA|90900-9064|WV|4388 Fowler Plains
PL_42|provider_location|Stephenbury|USA|62442-9397|LA|283 Martinez Stravenue
PL_43|provider_location|Chadfurt|USA|54676-0250|WA|246 Michelle Overpass Apt. 075
PL_44|provider_location|West Michelle|USA|16101-3024|KY|1221 Austin Parks
PL_45|provider_location|West Nancy|USA|03124-0560|MT|01055 Bridges Gardens Suite 867
PL_46|provider_location|Nataliefurt|USA|45787-7915|IA|85938 Grant Station Suite 114
PL_47|provider_location|Ewingberg|USA|43542-6300|IL|38342 Jill Road
PL_48|provider_location|Port Heather|USA|74901-9786|AR|873 Ward Overpass
PL_49|provider_location|North Anna|USA|43923-0591|DC|8345 Lee Heights Apt. 609
PL_50|provider_location|Drakehaven|USA|95377-6728|SC|2745 Baker Key Suite 792
PL_51|provider_location|Howardville|USA|93056-7634|SD|619 Crystal River Suite 374
PL_52|provider_location|Sarahshire|USA|87883-3462|MT|90029 April Groves
PL_53|provider_location|South Adam|USA|32469-6430|PA|76073 William Track
PL_54|provider_location|Ericland|USA|90464-9431|CA|74370 Shane Trace
PL_55|provider_location|East Julia|USA|61902-0263|WV|34692 Jerry Forges Suite 787
PL_56|provider_location|North Cherylton|USA|86678-4972|SD|20825 Robert Gardens
PL_57|provider_location|West Diane|USA|43601-4030|NM|4914 Kristen Cape Apt. 466
PL_58|provider_location|East Johnland|USA|22121-3677|OR|0937 Christopher Cove Suite 208
PL_59|provider_location|Williamsfort|USA|08395-7440|NY|713 Lydia Falls Suite 429
PL_60|provider_location|Chaseport|USA|04700-3345|NV|05265 Williams Knoll
PL_61|provider_location|Daleborough|USA|85499-4880|CO|3317 Alyssa Glen Apt. 196
PL_62|provider_location|Port April|USA|17859-5569|UT|453 Mary Run Suite 160
PL_63|provider_location|New Bridget|USA|93262-5797|AZ|899 Torres Rapid Suite 838
PL_64|provider_location|Tuckerport|USA|65813-5054|CA|156 Smith Skyway
