ID|LABEL|CITY|COUNTRY|POSTALCODE_PLUS4|STATE_ABBR|STREET_ADDRESS
CL_0|claimant_location|Lake Jesusland|USA|55256-4638|KY|2908 Collin Turnpike Apt. 771
CL_1|claimant_location|North Elizabethland|USA|42620-5071|ME|52670 Cody Key
CL_2|claimant_location|Port Samuel|USA|48172-8213|WI|289 Olivia Dale
CL_3|claimant_location|Port Joseph|USA|84739-4049|NE|162 Alexander Greens
CL_4|claimant_location|Port Christopher|USA|98241-1280|FL|14449 Tiffany Valleys Apt. 159
CL_5|claimant_location|Benjaminview|USA|00647-8941|CO|484 Donna Grove Apt. 668
CL_6|claimant_location|Richardschester|USA|79060-9742|OK|679 Mark Rest Apt. 669
CL_7|claimant_location|Dylanshire|USA|86561-1306|NE|677 Jaclyn Fords
CL_8|claimant_location|Nicoleport|USA|90268-3488|CO|83553 Taylor Valleys
CL_9|claimant_location|New Teresaside|USA|27036-9610|SC|64232 Chloe Mews
CL_10|claimant_location|East Jessicafort|USA|64006-1284|NJ|407 Shaw Trafficway Suite 286
CL_11|claimant_location|Bensonland|USA|16086-4888|CA|892 Jenkins Streets
CL_12|claimant_location|New Nicole|USA|92334-7826|NC|9441 Michelle Mount Apt. 357
CL_13|claimant_location|Port Derrickport|USA|26999-7307|KS|7129 Melendez Roads Apt. 085
CL_14|claimant_location|South Jacobland|USA|96508-8881|CT|74331 Reed Stream Apt. 886
CL_15|claimant_location|Lake Alexander|USA|78129-2825|CO|338 Carla Trail Suite 855
CL_16|claimant_location|East Beckyshire|USA|86602-7119|FL|3935 Ryan Rest Apt. 808
CL_17|claimant_location|West Jonathan|USA|06780-4117|AL|4683 Franco Cove Apt. 505
CL_18|claimant_location|Palmerside|USA|77798-5020|ME|024 Chambers Stream Apt. 660
CL_19|claimant_location|Port Rebeccahaven|USA|53324-7358|HI|42771 Anderson Harbor Apt. 169
CL_20|claimant_location|East Rhonda|USA|38802-6266|ME|704 Robert Lodge
