ID|LABEL|POLICY_ID|CLAIM_ID|PROVIDER_ID|AMOUNT|LICENSE_NUMBER|INSURED_SEX|INSURED_EDUCATION_LEVEL|INSURED_OCCUPATION|INSURED_HOBBIES|INSURED_RELATIONSHIP|INCIDENT_DATE|INCIDENT_TYPE|INCIDENT_CITY|INCIDENT_STATE|INCIDENT_SEVERITY|AUTHORITIES_CONTACTED|POLICE_REPORT_AVAILABLE
M_0.2.0|mbr|Q_0.2||P_486|769.37|0IU66|0|||||2021-08-01|0|Lake Lauraville|OR|1|1|1
M_0.3.0|mbr|Q_0.3||P_163|386.67|897-JRD|0|||||2021-04-28|1|Lake Andres|ID|5|1|0
M_0.4.0|mbr|Q_0.4||P_275|394.8|7JHR 84|1|||||2021-11-23|2|Port Heather|KS|0|1|0
M_0.5.0|mbr|Q_0.5||P_175|623.43|14F 9250|0|||||2021-07-22|10|Lake Christinaville|RI|4|1|1
M_0.5.1|mbr|Q_0.5||P_453|842.65|8DI98|0|||||2021-05-18|12|Amandaland|NE|1|0|0
M_0.5.2|mbr|Q_0.5||P_224|797.19|H18 6CU|0|||||2021-10-23|8|South Daniel|WV|3|0|0
M_0.6.0|mbr|Q_0.6||P_405|593.38|899 BTF|1|||||2021-02-19|0|Stephaniefort|VA|3|0|0
M_0.6.1|mbr|Q_0.6||P_33|662.48|SI 0640|1|||||2021-06-25|6|Markbury|WV|1|1|1
M_0.7.0|mbr|Q_0.7||P_303|481.08|F04 8JU|1|||||2022-01-14|4|Nathanberg|OK|2|0|1
M_0.8.0|mbr|Q_0.8||P_304|936.31|IMI 8889|2|||||2021-02-12|3|Jacksonside|ME|5|1|0
M_0.9.0|mbr|Q_0.9||P_264|458.79|3UFU 38|2|||||2022-03-09|7|South Crystalfort|IN|6|1|1
M_0.9.1|mbr|Q_0.9||P_478|729.05|4XX 428|2|||||2021-01-04|2|Port Emily|TX|2|0|1
M_0.9.2|mbr|Q_0.9||P_163|757.52|TOX8229|3|||||2021-05-12|1|Lake Alicia|ME|4|0|1
M_0.10.0|mbr|Q_0.10||P_250|547.7|2NE 970|0|||||2021-10-05|12|West Stephen|AL|0|0|1
M_0.11.0|mbr|Q_0.11||P_166|497.23|FEL-2635|2|||||2022-04-11|10|Cainstad|CA|3|0|1
M_0.11.1|mbr|Q_0.11||P_306|125.56|71-B773|1|||||2021-09-02|0|Bellshire|HI|3|1|0
M_0.12.0|mbr|Q_0.12||P_408|739.89|283 FJN|2|||||2022-01-21|9|New Judithfurt|UT|3|0|0
M_0.12.1|mbr|Q_0.12||P_163|887.59|AZC-4083|2|||||2022-01-05|0|West Zacharyside|MI|4|1|0
M_0.12.2|mbr|Q_0.12||P_251|374.48|PUI 549|3|||||2021-04-12|9|West Thomaston|SC|0|0|1
M_0.13.0|mbr|Q_0.13||P_11|844.65|34XQ673|1|||||2022-02-15|5|Susanton|OH|3|1|1
M_0.13.1|mbr|Q_0.13||P_383|814.49|CEJ 531|1|||||2021-07-08|3|Fordstad|ID|4|1|0
M_0.13.2|mbr|Q_0.13||P_94|466.6|72-82101|1|||||2021-01-15|9|Jenniferstad|VT|3|0|0
M_0.14.0|mbr|Q_0.14||P_143|859.69|K32-08L|1|||||2021-10-28|2|Lake Kyleview|UT|2|0|0
M_0.14.1|mbr|Q_0.14||P_371|779.53|KGW 311|3|||||2021-09-09|8|Johnsonberg|KY|1|0|0
M_0.14.2|mbr|Q_0.14||P_12|956.69|XDY-7729|2|||||2021-11-22|10|Drakestad|GA|0|1|1
M_0.15.0|mbr|Q_0.15||P_471|850.65|05-13489|1|||||2021-06-25|4|Lake Nicholasmouth|MN|4|0|0
M_0.15.1|mbr|Q_0.15||P_428|402.69|TFE 124|2|||||2021-09-28|0|Masonville|AZ|6|0|1
M_0.16.0|mbr|Q_0.16||P_252|921.01|855I|2|||||2021-08-16|3|Sosaborough|WY|0|0|0
M_0.16.1|mbr|Q_0.16||P_89|987.47|9O 8H8QOQ|1|||||2021-01-02|4|Russellton|OH|0|0|1
M_0.17.0|mbr|Q_0.17||P_18|205.52|134 8SM|3|||||2021-03-27|10|Port Alyssaland|NV|4|1|0
M_0.17.1|mbr|Q_0.17||P_138|228.58|4AB 890|1|||||2021-07-20|12|Port William|WY|5|1|1
M_0.18.0|mbr|Q_0.18||P_58|226.61|UF-8816|1|||||2021-07-04|7|West Deborah|DC|6|1|0
M_0.18.1|mbr|Q_0.18||P_442|176.61|QVN 190|2|||||2022-04-26|1|Wilsonview|WY|5|0|1
M_0.21.0|mbr|Q_0.21||P_361|813.34|697 1HX|1|||||2022-01-23|0|Christopherville|MN|4|0|0
M_0.21.1|mbr|Q_0.21||P_178|142.01|HKX 962|2|||||2021-04-12|2|Jacquelinemouth|KS|4|0|1
M_0.21.2|mbr|Q_0.21||P_100|241.16|5BJ 291|3|||||2021-12-06|4|Donnaberg|WV|6|1|0
M_0.22.0|mbr|Q_0.22||P_129|738.25|991-OIF|1|||||2021-09-24|8|East Michelleberg|CA|4|0|1
M_0.22.1|mbr|Q_0.22||P_484|288.59|4YF62|0|||||2021-01-08|7|Port Curtis|OH|3|1|0
M_0.22.2|mbr|Q_0.22||P_365|732.26|0NCW937|2|||||2022-04-26|5|Ortizfurt|CT|5|1|1
M_0.23.0|mbr|Q_0.23||P_372|276.9|145GV|3|||||2021-01-19|3|New Kevin|DE|3|0|1
M_0.23.1|mbr|Q_0.23||P_106|786.16|HCV 067|3|||||2021-01-30|9|South Robert|MA|5|0|0
M_0.24.0|mbr|Q_0.24||P_125|158.51|028 IJ7|2|||||2021-03-13|4|North Antonioland|TN|0|0|0
M_0.24.1|mbr|Q_0.24||P_309|222.2|34JQ414|0|||||2022-04-27|8|Ritaview|AK|0|1|1
M_0.24.2|mbr|Q_0.24||P_390|966.49|MRX 785|2|||||2021-07-18|12|Thomastown|DC|1|1|1
M_0.27.0|mbr|Q_0.27||P_336|158.99|YXH 209|3|||||2022-02-17|13|South Kevin|GA|4|1|0
M_0.27.1|mbr|Q_0.27||P_259|249.53|9K FZ163|1|||||2021-05-07|0|Hammondland|DE|0|0|1
M_0.28.0|mbr|Q_0.28||P_343|460.34|KPV 031|1|||||2021-07-14|2|Jenniferport|ND|4|0|0
M_0.29.0|mbr|Q_0.29||P_401|342.38|237 MRS|0|||||2021-06-16|0|Matthewfurt|OR|4|1|1
M_0.30.0|mbr|Q_0.30||P_174|445.36|QJW6651|2|||||2021-08-26|11|Waynemouth|VT|3|1|1
M_0.30.1|mbr|Q_0.30||P_440|860.5|86DL7|3|||||2021-03-31|11|Robinsonbury|ND|4|0|0
M_0.30.2|mbr|Q_0.30||P_499|929.64|4-12883|1|||||2022-04-11|13|Port Thomas|VT|5|1|0
M_0.31.0|mbr|Q_0.31||P_65|396.68|496 ZPZ|2|||||2022-03-24|11|East Susanfurt|MO|1|1|0
M_0.31.1|mbr|Q_0.31||P_14|902.77|ULA 911|2|||||2021-07-05|7|New Diana|TX|4|1|1
M_0.32.0|mbr|Q_0.32||P_404|912.28|094 XBB|1|||||2021-09-03|1|Amandastad|LA|2|1|1
M_0.33.0|mbr|Q_0.33||P_175|368.0|546 YPL|0|||||2021-09-05|10|Zacharyville|WV|0|0|0
M_0.34.0|mbr|Q_0.34||P_46|180.51|20-1700H|0|||||2021-06-15|9|West Stephanieville|DC|6|0|0
M_0.36.0|mbr|Q_0.36||P_464|210.45|W93-39H|0|||||2021-05-19|6|Teresashire|MD|3|0|0
M_0.37.0|mbr|Q_0.37||P_226|676.7|IXY 029|1|||||2022-04-09|12|Barnesbury|NM|4|0|1
M_0.42.0|mbr|Q_0.42||P_132|842.78|964-AFP|1|||||2021-05-24|1|North Kristin|OH|1|0|0
M_0.43.0|mbr|Q_0.43||P_234|121.31|758-774|0|||||2021-02-06|0|Obrienton|NC|0|0|0
M_0.43.1|mbr|Q_0.43||P_146|948.28|ZJA 854|0|||||2021-09-27|7|Port Frances|NY|1|0|0
M_0.44.0|mbr|Q_0.44||P_22|694.51|B 902543|1|||||2021-12-13|11|Lamborough|VT|2|1|1
M_0.44.1|mbr|Q_0.44||P_339|750.62|QAQ 775|3|||||2021-10-16|4|Tracyville|IL|2|0|0
M_0.44.2|mbr|Q_0.44||P_419|291.14|7N DL988|3|||||2021-07-23|11|North Jaredbury|CA|2|1|1
M_0.45.0|mbr|Q_0.45||P_195|970.08|86IC971|1|||||2022-02-25|8|Rodriguezfurt|TN|2|1|1
M_0.45.1|mbr|Q_0.45||P_319|355.63|DWX 801|2|||||2022-03-27|0|New Oscar|SD|2|1|1
M_0.46.0|mbr|Q_0.46||P_480|454.75|G57-UOA|1|||||2021-11-21|3|Powellchester|VT|6|1|1
