ID|LABEL|CITY|COUNTRY|POSTALCODE_PLUS4|STATE_ABBR|STREET_ADDRESS
AL_0|agent_location|Rodriguezstad|USA|97766-0026|OK|514 Diaz Inlet Suite 577
AL_1|agent_location|Thomasmouth|USA|91260-0119|MI|8645 Gentry Field Suite 544
AL_2|agent_location|West Theresaberg|USA|21688-0510|VA|53484 Barron Spring
AL_3|agent_location|Jordanville|USA|98539-1488|WI|5262 Thompson Springs
AL_4|agent_location|New Timothystad|USA|84510-3727|KS|672 Moran Vista Suite 289
AL_5|agent_location|Lake Amandahaven|USA|92854-5385|IL|26829 Prince Mountain
AL_6|agent_location|North Margaretville|USA|67522-4610|RI|6405 Allen Flat Apt. 904
AL_7|agent_location|New Williamport|USA|17580-2610|MO|4166 Maria Meadow
AL_8|agent_location|South Melissamouth|USA|73851-8897|GA|372 Kristin Highway Suite 673
AL_9|agent_location|West Jamie|USA|20960-4000|MS|2873 Amy Flats Suite 363
AL_10|agent_location|East John|USA|46003-6760|ID|546 Cameron Fords
AL_11|agent_location|Daniellemouth|USA|72623-9351|PA|2667 Garrison Groves
AL_12|agent_location|Carterport|USA|64209-4657|OK|39593 Rebecca Bridge
AL_13|agent_location|North Karenburgh|USA|68579-7492|KY|56517 Kathy Parks
AL_14|agent_location|Port Nathanview|USA|04437-7773|WV|48350 Hubbard Squares
AL_15|agent_location|Rachelland|USA|99851-0719|NE|94124 Jones Club
AL_16|agent_location|Lake Frank|USA|36628-6680|IN|18419 Wolf Rue Apt. 861
AL_17|agent_location|East Gregory|USA|02113-7546|OH|99764 Padilla Heights Suite 958
AL_18|agent_location|Port Audreyville|USA|96877-6813|NY|8535 Donna Stream
AL_19|agent_location|Lake Taylor|USA|74103-0261|LA|1939 Austin Track Apt. 591
AL_20|agent_location|Mckinneybury|USA|98182-2366|IL|30293 Coleman Overpass
AL_21|agent_location|Annefurt|USA|34021-9993|MT|4959 Kristin Freeway
AL_22|agent_location|North Carmen|USA|35450-9189|ID|51814 Riggs Roads
AL_23|agent_location|Diazshire|USA|85481-6482|IA|5736 Lopez Grove
AL_24|agent_location|East Jaredburgh|USA|45974-1210|MO|2142 Melissa Mission Suite 532
AL_25|agent_location|Derekton|USA|09358-9985|NE|1219 Jeffrey Knoll Apt. 147
AL_26|agent_location|North Aaronborough|USA|92939-2984|NE|5879 Donald Cape Apt. 226
AL_27|agent_location|Aaronmouth|USA|51917-2101|OR|04252 Torres Brooks
AL_28|agent_location|East Kennethborough|USA|00677-1614|WI|0658 Butler Valleys Apt. 745
AL_29|agent_location|Gardnerton|USA|11371-3403|LA|1707 Walton Lights Apt. 114
AL_30|agent_location|South Jesse|USA|77407-3063|TX|155 Nathaniel Greens Apt. 865
AL_31|agent_location|New Joann|USA|87284-7055|LA|458 Cardenas Station
AL_32|agent_location|Port Lisa|USA|44524-3827|ND|171 Paula Locks
AL_33|agent_location|Hendersonhaven|USA|97676-8541|OK|954 Kayla Valleys
AL_34|agent_location|New Kelseymouth|USA|11081-1810|NM|60797 Liu Field Suite 852
AL_35|agent_location|Jamesburgh|USA|78755-9123|TN|0665 Myers Forges Suite 783
AL_36|agent_location|Moyerberg|USA|27019-7080|AZ|85799 Danielle Mill
AL_37|agent_location|South Geraldmouth|USA|24702-3401|CA|91129 Murray Knoll Apt. 202
AL_38|agent_location|New Jessicaside|USA|38328-0810|MA|4636 Leon Estate Apt. 502
AL_39|agent_location|South Robert|USA|06395-3844|NY|26415 Karla Wall Apt. 124
AL_40|agent_location|North Vanessahaven|USA|87965-1575|CA|754 Audrey Light
AL_41|agent_location|Bryantland|USA|93973-8258|WI|275 Smith Station Apt. 633
AL_42|agent_location|New Nicholas|USA|35316-1622|MN|0027 Stanley Turnpike
AL_43|agent_location|Mathisborough|USA|51818-9549|NV|0283 Nathan Dam
AL_44|agent_location|Emmabury|USA|54090-8989|ND|085 Stacy View Apt. 032
AL_45|agent_location|Port Shelia|USA|04559-3748|OR|486 Parker Station Apt. 139
AL_46|agent_location|North Maryburgh|USA|78869-7216|AL|23676 Walter Freeway Apt. 227
AL_47|agent_location|Port Kaylastad|USA|72996-9259|CO|60993 Jennifer Greens
AL_48|agent_location|Anthonyshire|USA|09576-7977|ID|09323 Gomez Throughway
AL_49|agent_location|West Nicolebury|USA|69106-8580|KY|33868 Henry Island Apt. 282
